file,class,method,variable,usage
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,setStrategy/1[BehavioralPatterns.Strategy.INavigationStrategy],navStrategy,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,"Navigate/2[java.lang.String,java.lang.String]",finishDestination,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,"Navigate/2[java.lang.String,java.lang.String]",navStrategy,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,"Navigate/2[java.lang.String,java.lang.String]",startDestination,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,navigate/0,finishDestination,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,navigate/0,navStrategy,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,navigate/0,startDestination,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,"AddCommand/2[BehavioralPatterns.Command.Calculator,double]",calculator,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,"AddCommand/2[BehavioralPatterns.Command.Calculator,double]",operand,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,undo/0,calculator,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,undo/0,operand,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,execute/0,calculator,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,execute/0,operand,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\CommandsManager.java,BehavioralPatterns.Command.CommandsManager,compute/1[BehavioralPatterns.Command.ICommand],currentCommand,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\CommandsManager.java,BehavioralPatterns.Command.CommandsManager,compute/1[BehavioralPatterns.Command.ICommand],calculatorOperations,1
